query_id;dop;actual_time_ms;q_error_mapping_time;q_error_thread_wise_time;actual_memory_kb;q_error_mapping_memory;q_error_thread_wise_memory
2;64;856196.578;0.06086286256458995;0.931576856874567;66119680;0.0007848449442722227;0.0007848449442722227
3;64;35560.873;4.0298722364662254e-05;4.029872236444021e-05;9216;0.794392523364486;0.794392523364486
4;64;14345.9;0.0039203833101948415;7.712445928871665;30522368;0.3746415743365652;7.02461673071139
7;64;4529.726;0.0007831709909169593;0.07828346571072942;3819520;0.11815516085790878;12.700642791551882
8;64;2335.123;0.8891553772542173;0.9642181324067296;2889728;0.3865744457609852;7.078545389484043
9;64;234513.598;3.83873073430685e-05;3.8387307342846455e-05;72704;8.17284885187989;8.17284885187989
10;64;2785.3;0.5109313068610204;2.55561550245934;4240384;0.6301179327155277;18.608168097070138
11;64;8081.3;0.1589540974555157;3.690703932535607;20146176;0.3067791624574312;6.781919652169076
13;64;7296.474999999999;0.0005072183781889006;0.14958441850345539;2733056;0.06615735582789539;13.908418474495836
18;64;4466.81;0.08106199950300064;0.6976872869004951;8963072;0.05659510489260833;4.000955212155298
19;64;2657.502;0.012004506487671485;0.7343480245734526;1103872;0.2091990738056586;3.3676880222841223
20;64;635.7299999999998;1.5690283610966929;3.424930250263478;4493312;0.22691324350501363;17.406387101267015
22;64;30508.247;0.23500458585858763;0.191860924060842;45689856;0.019607940983661587;0.06822070785918566
23;64;19296391.713;0.00023086255081539164;0.4228958875509534;16665600;0.0018500947169624027;0.0018500947169624027
25;64;6364194.258;0.0004310345957778683;0.0004929917197384892;4430848;0.09992421315287725;2.8484069949433097
26;64;3669.06;0.06952111985086096;0.1195209835761748;3807232;0.12417551649072078;12.667890850215219
27;64;6004.429;0.0013743364446954232;0.06946137925854412;4472832;0.03269964085393773;7.998847186874428
29;64;8587749.361;0.00043817255560574253;0.00011013072019716574;4163584;0.14609000322798815;2.9583777396013278
30;64;10638.363000000001;0.0367482455159831;0.36615812037998685;372736;0.5890549879807692;0.5890549879807692
31;64;2264.37;2.0325776873920782;13.107633627896503;13826048;0.50560977366779;23.99263021845428
32;64;18586.111;0.00014077007581181356;0.0001407700758120356;17408;0.48926341004363083;0.48926341004363083
33;64;26275091.111;9.102537417149392e-07;1.000001918090399;162816;1.3750729373322441;1.3750729373322441
34;64;2324.611;0.1463917442531244;0.8408841561018163;2146304;0.24644085833134532;12.712474923652906
35;64;13692.82;0.08465677632511048;0.5390638011746305;4421632;0.7368324636695229;3.9117565378898798
38;64;6578.07;1.1464434450148584;0.5584215218141493;12581888;0.2864192559971921;1.148996724552771
39;64;2522.34;0.20282711767644312;1.7726618199766881;6959104;0.03906580502317536;2.412041349851832
41;64;1736.41;0.17964775369872332;0.7936595942202589;5481472;0.18195824041425368;3.4071179962324436
42;64;244952.411;1.4198877935189813e-05;1.4198877935189813e-05;64512;12.843776824034334;12.843776824034334
43;64;1474.163;0.03962899625075367;0.055299880406711965;2148352;0.16134134443517634;10.778245614035088
44;64;1672.6149999999998;0.20868278713272326;0.2310067768135522;2500608;0.011009722435503688;11.077897990726429
45;64;405.2060000000001;0.9304526586476998;2.494580534345493;1602560;0.43666945387380185;11.49500998003992
47;64;4919.272;0.0465242376790842;0.972016336970186;3698688;0.18157600749238645;10.143915975197498
48;64;15009994.928;0.0035571277842607607;0.9998942120895038;249856;0.3190037461577868;0.3190037461577868
50;64;5909.700000000001;0.6557203490870938;2.8382679742457304;9888768;0.31262387791886703;5.872139350157926
52;64;1485.963;0.0004418616033980971;0.0405189661519163;2169856;0.1768002116269467;8.014174379767029
53;64;3913.475;0.014647733368524873;0.23988966327879968;887808;0.23460027393310257;8.619972260748959
56;64;2517790.514;6.988716048983434e-06;0.9999647270098497;111616;0.18409131896926678;0.18409131896926678
58;64;4265.061;0.18534962172185332;0.9450732540050424;2515968;0.5383776741198616;9.51966818303452
59;64;177337.12;0.0818709077941493;0.9846013513696401;228352;0.39486527924549053;0.39486527924549053
60;64;4924840.864;3.9648138805414845e-06;0.9999688670143394;121856;0.21791450531218448;0.21791450531218448
62;64;679.5189999999999;0.5788595109187522;0.6182366732939037;2605056;0.019135481156643097;7.4427332477735
63;64;3971.335;0.013992477530509806;0.3185168967110552;887808;0.2335178326845444;8.619972260748959
64;64;2967245.061;2.5292450262837107e-05;1.8629370521682023;1857536;0.08085449565659109;0.08085449565659109
65;64;3683.4999999999995;0.028035862630650277;1.3974475884349125;9099264;0.228084051633187;2.64001572934014
66;64;3231.3;0.5938324172933491;2.2460839911490726;6894592;0.13915968824666258;13.207158606194234
67;64;51660.57;0.6698853464716887;0.0049425118615606944;61353984;0.6865182218647774;0.03518792882216415
68;64;7240.508;0.2203759151439797;0.22234703697585845;1199104;0.20762252481853127;3.4370011581825786
70;64;5731.700000000001;0.11738799134637157;0.7533912683322572;21599232;0.14945077676835927;0.2978724350334665
71;64;3953.343;0.13450632262366335;0.09730783010732957;3753984;0.13628854038802518;9.020082958312647
73;64;3019.373;0.25455918588414317;0.1998465416495412;1046528;0.22459121972847362;6.0617353927542394
74;64;189781.605;0.0442278955328681;0.056425258765200104;4451328;0.8757431490108121;0.4360609598606824
75;64;18003.5;0.023704803510428363;2.3826074746577053;37627904;0.23351566433251247;2.870720804776219
77;64;84797.572;0.0001259156839519271;0.9996214160471484;75776;2.280488332828261;2.280488332828261
79;64;5568.325000000001;0.12040541747670264;0.16234661931550298;2931712;0.05676478453545242;3.5133605208424745
80;64;3088465.613;1.982865574845505e-06;0.9999937211539875;3421184;0.020545235971613618;0.020545235971613618
81;64;16808.558;0.020424631412069072;0.43589854644282977;740352;0.6127355636237897;0.6127355636237897
82;64;743239.032;0.00016614170500139913;0.00028556366237775244;2017280;0.20898239213197978;12.31081081081081
83;64;600.391;0.2821388378146936;0.3205334373766431;2446336;0.5504211195845543;10.176608187134503
84;64;1241.2240000000002;0.015301206199008988;0.009145005252879423;967680;0.2126043733465608;4.6711519527404
85;64;8445.907;0.16221387254999753;0.5839350350412338;4302848;0.045824300556282616;5.11825730861108
86;64;2615.6;0.20564286586785263;0.27435016669215484;9979904;0.05638260648599425;0.8383862424018471
88;64;884.8200000000002;4.0275754684568605;24.81760264697905;7299072;0.6905675132400393;6.005405405405406
89;64;2607.8469999999998;0.018144385693346532;0.16259937948813752;3984384;0.03641315696479053;10.625091906401353
92;64;4359.754000000001;0.0004031668677149103;0.0004031668677149103;14336;0.848137166430321;0.848137166430321
93;64;14098.94;0.19992449269165524;0.015124470350253327;4355072;0.19884217758053135;28.990304098721904
94;64;2218231.997;0.0005138048246751126;0.00024012172789866781;3204096;0.23139568851869607;9.84979377882525
96;64;1355.23;0.01995448764583796;0.10098001815190027;899072;0.23914992347665143;8.242105263157894
97;64;11248.175000000001;0.9114413824699359;0.17593049539147443;11056128;0.46727416686926926;0.13605341761600442
98;64;3634.378;0.19606738759699716;0.10829022022475354;847872;0.34991366621376807;10.420535822523942
99;64;1555.732;0.2696986177567857;0.2910996559818786;2670592;0.0006084793184433224;7.20289525658313
