query_id;base_execution_time;base_thread_count;base_cost;PPM_execution_time;PPM_thread_count;PPM_cost;PPM_time_ratio;PPM_cost_ratio;FGO_execution_time;FGO_thread_count;FGO_cost;FGO_time_ratio;FGO_cost_ratio;OPRO_execution_time;OPRO_thread_count;OPRO_cost;OPRO_time_ratio;OPRO_cost_ratio
3;15257.000000;1;15257.000000;14011.600000;1.000000;14011.600000;0.918372;0.918372;14193.000000;1;14193.000000;0.930262;0.930262;14367.600000;1;14367.600000;0.941705;0.941705
4;51091.500000;1230;62842545.000000;51091.500000;1230.000000;62842545.000000;1.000000;1.000000;7070.440000;777;5493731.880000;0.138388;0.087421;9942.090000;971;9653769.390000;0.194594;0.153618
6;1458.440000;66;96257.040000;2221.400000;32.000000;4221.400000;1.722783;0.795800;1221.530000;85;103830.050000;0.837559;1.078675;1276.030000;41;52317.230000;0.874928;0.543516
7;17823.900000;197;3511308.300000;7773.590000;29.000000;225434.110000;0.436133;0.064202;3585.710000;179;641842.090000;0.201174;0.182793;3514.800000;59;207373.200000;0.197196;0.059059
8;1210.220000;195;1600992.900000;1192.610000;81.000000;96601.410000;1.045259;0.460338;1433.280000;115;164827.200000;1.174573;0.602953;1433.140000;67;96020.380000;1.174556;0.359976
10;3727.680000;324;1207768.320000;2360.380000;33.000000;77892.540000;0.633203;0.064493;1079.730000;189;204068.970000;0.289652;0.168964;1382.820000;71;98180.220000;0.370960;0.081291
11;4768.730000;841;4010501.930000;6514.190000;2017.000000;13139121.230000;1.366022;3.276179;5819.200000;495;2880504.000000;1.220283;0.718240;5127.910000;634;3251094.940000;1.075320;0.810645
12;3159.740000;66;208542.840000;647.167000;129.000000;83484.543000;0.204817;0.400323;564.293000;85;47964.905000;0.178588;0.230000;612.748000;25;15318.700000;0.193924;0.073456
13;9029.670000;132;1191916.440000;15751.400000;21.000000;330779.400000;1.744405;0.277519;1906.980000;115;219302.700000;0.211190;0.183992;2232.430000;121;270124.030000;0.247233;0.226630
15;3358.060000;195;654821.700000;1957.900000;21.000000;41115.900000;0.583045;0.062789;856.927000;115;98546.605000;0.255185;0.150494;656.976000;49;32191.824000;0.195642;0.049161
18;16282.100000;325;5291682.500000;10069.300000;19.000000;191316.700000;0.618428;0.036154;2481.130000;199;493744.870000;0.152384;0.093306;1196.600000;161;192652.600000;0.073492;0.036407
19;1507.780000;67;101021.260000;4382.350000;13.000000;56970.550000;2.906492;0.563946;1915.960000;95;182016.200000;1.270716;1.801761;1584.850000;81;128372.850000;1.051115;1.270751
20;706.604000;259;183010.436000;573.354000;385.000000;220741.290000;0.811422;1.206168;794.498000;115;91367.270000;1.124389;0.499246;514.608000;57;29332.656000;0.728283;0.160279
22;24942.800000;195;4863846.000000;66677.000000;83.000000;3703447.000000;2.797963;1.761424;30470.000000;115;3504050.000000;1.221595;0.720428;57807.800000;147;8497746.600000;2.317615;1.747125
25;3981470.000000;195;776386650.000000;3757910.000000;41.000000;154074310.000000;0.943850;0.198450;3877000.000000;115;445855000.000000;0.973761;0.574269;3903000.000000;99;386397000.000000;0.980291;0.497686
26;1759.580000;197;346637.260000;4189.250000;29.000000;121488.250000;2.380824;0.350477;1967.160000;179;352121.640000;1.117971;1.015822;1865.030000;59;110036.770000;1.059929;0.317441
27;1692.630000;197;333448.110000;6070.100000;125.000000;241051.500000;3.494160;1.722906;3651.050000;179;653537.950000;2.157028;1.959939;3076.590000;61;187671.990000;1.817639;0.562822
28;2838.140000;769;2182529.660000;4936.880000;49.000000;241907.120000;1.739477;0.110838;2401.780000;273;655685.940000;0.846251;0.300425;1495.510000;327;489031.770000;0.526933;0.224066
29;4672580.000000;195;911153100.000000;4668680.000000;41.000000;191415880.000000;0.999165;0.210081;4883930.000000;115;561651950.000000;1.045232;0.616419;4752050.000000;99;470452950.000000;1.017008;0.516327
31;1971.600000;909;1792184.400000;2488.300000;88.000000;12488.300000;1.534094;0.106968;805.265000;633;509732.745000;0.408432;0.284420;863.308000;541;467049.628000;0.437872;0.260604
34;715.615000;132;94461.180000;2599.910000;41.000000;96598.110000;3.427912;1.522622;583.975000;115;67157.125000;0.816046;0.710949;1911.080000;43;82176.440000;2.670542;0.869949
35;6504.800000;324;2107555.200000;7333.200000;33.000000;241995.600000;1.127352;0.114823;5861.980000;189;1107914.220000;0.901178;0.525687;5578.180000;91;507614.380000;0.857548;0.240855
36;2023.250000;260;526045.000000;3068.800000;225.000000;690480.000000;1.516768;1.312587;8965.850000;169;1515228.650000;4.431410;2.880416;7358.510000;137;1008115.870000;3.636975;1.916406
37;107477.000000;130;13972010.000000;21941.300000;55.000000;548532.500000;0.204149;0.139259;48137.700000;86;4139842.200000;0.447888;0.296295;47844.100000;26;1243946.600000;0.445157;0.089031
38;3522.670000;455;1602814.850000;2962.350000;1249.000000;3699975.150000;0.840939;2.308423;7603.950000;327;2486491.650000;2.158576;1.551328;4332.880000;481;2084115.280000;1.229999;1.300284
39;1581.760000;263;416002.880000;4345.800000;166.000000;41345.800000;2.839111;1.499388;3941.410000;253;997176.730000;2.491788;2.397043;4753.990000;241;1145711.590000;3.005507;2.754095
41;60084.300000;1;60084.300000;60021.800000;1.000000;60021.800000;0.998960;0.998960;60078.700000;1;60078.700000;0.999907;0.999907;61008.900000;1;61008.900000;1.015388;1.015388
43;609.904000;131;79897.424000;1927.900000;91.000000;107351.100000;2.857012;2.043612;442.047000;105;46414.935000;0.724781;0.580932;2511.260000;35;87894.100000;4.117468;1.100087
44;280.960000;129;36243.840000;813.050000;18.000000;3813.050000;3.571505;0.405205;143.662000;85;12211.270000;0.511325;0.336920;292.470000;33;9651.510000;1.040967;0.266294
45;2725.470000;66;179881.020000;2325.050000;9.000000;20925.450000;0.853082;0.116329;2505.720000;85;212986.200000;0.919372;1.184039;2484.160000;25;62104.000000;0.911461;0.345250
46;1714.500000;198;339471.000000;8242.760000;33.000000;272011.080000;4.807676;0.801279;3455.210000;189;653034.690000;2.015287;1.923683;1241.920000;89;110530.880000;0.724363;0.325597
48;1775.530000;132;234369.960000;5096.500000;51.000000;254026.500000;2.812895;1.383870;1575.920000;115;181230.800000;0.887577;0.773268;1231.900000;145;178625.500000;0.693821;0.762152
49;8277.610000;515;4262969.150000;1329.470000;321.000000;426759.870000;0.160610;0.100109;2740.760000;253;693412.280000;0.331105;0.162659;2514.180000;215;540548.700000;0.303733;0.126801
50;14932.700000;194;2896943.800000;25589.500000;33.000000;844453.500000;1.713655;0.291498;14598.800000;105;1532874.000000;0.977640;0.529135;14670.400000;135;1980504.000000;0.982435;0.683653
53;374785.000000;1;374785.000000;345132.000000;1.000000;345132.000000;0.920880;0.920880;351080.000000;1;351080.000000;0.936750;0.936750;342259.000000;1;342259.000000;0.913214;0.913214
55;1841.510000;66;121539.660000;4028.210000;9.000000;36253.890000;2.187449;0.298289;1825.640000;85;155179.400000;0.991382;1.276780;1443.140000;105;151529.700000;0.783672;1.246751
58;2207.600000;196;432689.600000;5388.200000;25.000000;15388.200000;2.470556;0.335564;2559.830000;125;319978.750000;1.159553;0.739511;1857.000000;89;165273.000000;0.841185;0.381967
61;4145.550000;133;551358.150000;7840.690000;25.000000;196017.250000;1.891351;0.355517;3483.220000;125;435402.500000;0.840231;0.789691;4072.330000;129;525330.570000;0.982338;0.952794
62;540.274000;133;71856.442000;2984.120000;25.000000;74603.000000;5.523346;1.038223;269.141000;125;33642.625000;0.498156;0.468192;1242.160000;51;63350.160000;2.299130;0.881621
65;1863.940000;325;605780.500000;10913.600000;37.000000;403803.200000;5.855124;0.666583;5276.400000;199;1050003.600000;2.830778;1.733307;3502.180000;209;731955.620000;1.878912;1.208285
66;4023.830000;263;1058267.290000;1634.160000;321.000000;524565.360000;0.406121;0.495683;2504.550000;253;633651.150000;0.622429;0.598763;1873.730000;265;496538.450000;0.465658;0.469199
67;19631.200000;260;5104112.000000;14819.700000;673.000000;9973658.100000;0.754905;1.954044;760674.000000;95;72264030.000000;38.748217;14.158002;45753.800000;193;8830483.400000;2.330668;1.730072
68;3613.670000;67;242115.890000;8776.300000;13.000000;114091.900000;2.428639;0.471228;4186.050000;95;397674.750000;1.158393;1.642498;1770.840000;81;143438.040000;0.490039;0.592435
69;2170.880000;325;705536.000000;2279.570000;37.000000;84344.090000;1.050067;0.119546;845.796000;199;168313.404000;0.389610;0.238561;868.719000;97;84265.743000;0.400169;0.119435
70;2223.970000;389;865124.330000;1016.970000;161.000000;163732.170000;0.457277;0.189259;1258.520000;234;294493.680000;0.565889;0.340406;1760.020000;83;146081.660000;0.791387;0.168856
71;1121.940000;134;150339.960000;1947.200000;673.000000;1310465.600000;1.735565;8.716682;1100.110000;179;196919.690000;0.980543;1.309829;1402.740000;73;102400.020000;1.250281;0.681123
72;10239.600000;388;3972964.800000;89883.200000;37.000000;3325678.400000;8.777999;0.837077;47872.600000;199;9526647.400000;4.675241;2.397869;6694.290000;313;2095312.770000;0.653765;0.527393
73;1077.040000;67;72161.680000;4150.850000;13.000000;53961.050000;3.853942;0.747780;2028.080000;95;192667.600000;1.883013;2.669943;878.587000;49;43050.763000;0.815742;0.596588
74;68498.400000;261;17878082.400000;68627.000000;769.000000;52774163.000000;1.001877;2.951892;67571.200000;189;12770956.800000;0.986464;0.714336;68525.800000;289;19803956.200000;1.000400;1.107723
75;10621.600000;1357;14413511.200000;3899.060000;673.000000;2624067.380000;0.367088;0.182056;8479.640000;799;6775232.360000;0.798339;0.470061;8421.870000;835;7032261.450000;0.792900;0.487894
76;3771.590000;323;1218223.570000;3771.590000;323.000000;1218223.570000;1.000000;1.000000;3523.700000;179;630742.300000;0.934274;0.517756;2988.460000;201;600680.460000;0.792361;0.493079
78;30873.800000;645;19913601.000000;91595.300000;81.000000;91595.300000;2.966765;0.334600;17492.200000;337;5894871.400000;0.566571;0.296022;10018.400000;729;7303413.600000;0.324495;0.366755
79;1599.360000;133;212714.880000;3525.880000;44.000000;238147.000000;2.556057;1.519560;1049.080000;125;131135.000000;0.655937;0.616482;1121.040000;129;144614.160000;0.700930;0.679850
82;1001.490000;195;195290.550000;1843.920000;41.000000;75600.720000;1.841177;0.387119;1400.490000;106;148451.940000;1.398406;0.760159;760.117000;52;39526.084000;0.758986;0.202396
83;618.223000;196;121171.708000;831.367000;13.000000;10807.771000;1.344769;0.089194;428.674000;125;53584.250000;0.693397;0.442218;388.988000;49;19060.412000;0.629203;0.157301
84;787.321000;66;51963.186000;232.260000;9.000000;2090.340000;0.295000;0.040227;38.107000;85;3239.095000;0.048401;0.062334;110.699000;17;1881.883000;0.140602;0.036216
85;5387.110000;1;5387.110000;4284.050000;1.000000;4284.050000;0.795241;0.795241;4685.100000;1;4685.100000;0.869687;0.869687;5200.010000;1;5200.010000;0.965269;0.965269
86;1218.110000;259;315490.490000;1870.900000;193.000000;361083.700000;1.535904;1.144515;4510.980000;115;518762.700000;3.703262;1.644305;5128.590000;113;579530.670000;4.210285;1.836920
87;4172.840000;455;1898642.200000;2930.720000;1249.000000;3660469.280000;0.702332;1.927941;6958.990000;327;2275589.730000;1.667687;1.198535;4487.840000;481;2158651.040000;1.075488;1.136945
88;6365.720000;529;3367465.880000;17011.400000;97.000000;1650105.800000;2.672345;0.490014;7439.700000;569;4233189.300000;1.168713;1.257085;5513.010000;385;2122508.850000;0.866047;0.630299
89;912.474000;196;178844.904000;970.385000;193.000000;187284.305000;1.063466;1.047188;2519.760000;115;289772.400000;2.761460;1.620244;2452.150000;51;125059.650000;2.687364;0.699263
90;1041.620000;131;136452.220000;1304.920000;17.000000;22183.640000;1.252779;0.162574;842.847000;105;88498.935000;0.809169;0.648571;654.459000;33;21597.147000;0.628309;0.158276
91;414.880000;66;27382.080000;377.315000;9.000000;3395.835000;0.909456;0.124017;383.590000;85;32605.150000;0.924581;1.190748;364.958000;17;6204.286000;0.879671;0.226582
93;293.335000;1;293.335000;5.805000;1.000000;5.805000;1;1;38.839000;1;38.839000;1;1;19.486000;1;19.486000;1;1
94;669054.000000;194;129796476.000000;572140.000000;33.000000;18880620.000000;0.855148;0.145463;583548.000000;105;61272540.000000;0.872199;0.472066;572418.000000;65;37207170.000000;0.855563;0.286658
96;403.876000;67;27059.692000;2851.400000;13.000000;37068.200000;7.060088;1.369868;1246.500000;95;118417.500000;3.086343;4.376158;1229.750000;27;33203.250000;3.044870;1.227037
97;6380.410000;1;6380.410000;4975.270000;1.000000;4975.270000;1;1;25901.000000;1;25901.000000;1;1;26214.100000;1;26214.100000;1;1
98;2596.070000;66;171340.620000;2148.510000;129.000000;277157.790000;0.827601;1.617584;2098.520000;85;178374.200000;0.808345;1.041050;2691.870000;73;196506.510000;1.036902;1.146876
99;700.745000;133;93199.085000;2673.640000;65.000000;141841.000000;3.496583;2.521914;568.108000;125;71013.500000;0.810720;0.761955;2341.090000;51;119395.590000;3.340859;1.281081
